MaSV,Họ và đệm,Tên,Điểm 2
61364861,Trần Thu,Linh,8.7
37983769,Nguyễn Thị,Mai,7.5
27456261,Bùi Ngọc,Mai,6.2
47605042,Lê Công,Khang,9.0
41166278,Bùi Văn,Cường,7.5
45031127,Vũ Văn,Dũng,6.8
81847970,Đặng Bích,Diệp,6.9
16143714,Lê Bích,Ngọc,5.7
24502422,Nguyễn Thị,Hà,5.2
93989365,Hoàng Mai,Anh,9.6
35832931,Đỗ Minh,Hưng,9.6
11513295,Trần Công,Minh,4.2
82402950,Lê Thị,Diệp,7.2
77154509,Hoàng Bích,Hà,9.0
92420682,Lê Công,Quang,8.4
48812440,Nguyễn Đức,Hải,5.2
40954419,Phan Hữu,Cường,5.2
89824888,Phạm Quang,An,4.6
52287594,Đỗ Bích,Hà,9.2
60162514,Vũ Thị,Diệp,4.3
41746407,Phạm Đức,Hưng,8.1
24844355,Đỗ Minh,Hải,8.1
50246714,Đỗ Ngọc,Hà,7.8
31289402,Phạm Minh,An,5.1
87124797,Trần Đức,Bình,6.7
28918946,Phan Ngọc,Anh,6.7
31456541,Phan Đức,Dũng,8.0
86384391,Đặng Đức,Khang,8.0
97021169,Phan Thị,Linh,7.6
10362491,Trần Thu,Linh,8.3
55477248,Bùi Mai,Mai,4.1
56324651,Phạm Thị,Hoa,4.9
73238466,Vũ Văn,Hưng,6.7
30349291,Đỗ Hữu,Hải,5.4
98215837,Đặng Đức,Minh,8.3
26451927,Lê Mai,Trang,4.7
85696560,Trần Hữu,Tuấn,6.0
15382573,Phạm Thu,Anh,5.2
16168751,Hoàng Mai,Diệp,6.6
18040656,Bùi Thị,Hoa,7.4
75347782,Lê Minh,Quang,10.0
15852398,Trần Hữu,Dũng,4.5
86192870,Phan Ngọc,Linh,5.4
43709796,Bùi Thị,Châu,4.5
45230240,Đỗ Mai,Lan,4.4
95162687,Phạm Ngọc,Trang,6.4
97390771,Lê Quang,Hưng,5.6
31844529,Đỗ Mai,Diệp,4.7
73819474,Phan Thu,Linh,4.6
51463948,Bùi Quang,Minh,4.9
